OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
"99",0.21200000000,0.22000000000,1885.14222827000,"9","100103",??????????,"1001",??????,"10",???????????,1888.40977633000,211665.41877100000
"100",0.15200000000,0.15300000000,1588.18798658000,"10","100106",?????????,"1001",??????,"10",???????????,1586.81048172000,153993.98335800000
"101",0.41100000000,0.41400000000,3192.58751902000,"11","100110",?????????,"1001",??????,"10",???????????,3184.63859793000,410815.97602200002
"102",0.44800000000,0.45800000000,2880.24038540000,"12","100111",??????????,"1001",??????,"10",???????????,2873.00833654000,448130.65138599998
"103",0.23200000000,0.23000000000,2083.54685333000,"13","100104",???????????,"1001",??????,"10",???????????,2076.53067408000,229923.52611300000
"104",6.39200000000,5.78900000000,10574.44454620000,"2","103501",???????????,"1035",??????,"10",???????????,10603.83084890000,6391663.54722000007
"105",3.15200000000,3.37500000000,9727.97061782000,"4","103502",??????,"1035",??????,"10",???????????,9713.34751034000,3151676.10690000001
"106",5.02900000000,6.67800000000,10274.37174410000,"2","101204",?????????,"1012",???????,"10",???????????,10258.16190370000,5029324.12016000040
"107",7.43000000000,9.98400000000,13565.48210290000,"3","101203",?????????,"1012",???????,"10",???????????,13525.40785030000,7429516.17827999964
"108",10.57200000000,12.76500000000,17343.19389920000,"2","104901",?????,"1049",???????,"10",???????????,17292.44015460000,10572373.39030000009
"109",21.54400000000,17.97600000000,22920.12953860000,"3","104902",???????,"1049",???????,"10",???????????,22870.76511810000,21543747.36650000140
"110",22.24600000000,22.52400000000,21553.04608900000,"5","100305",??????,"1003",???????,"10",???????????,22969.13665580000,22245471.46420000121
"111",37.98600000000,38.86700000000,27011.17092270000,"9","100304",??????????,"1003",???????,"10",???????????,26223.53907380000,38210738.79619999975
"112",27.71900000000,25.83400000000,28971.89459150000,"6","101105",??????,"1011",?????????,"10",???????????,28838.69222980000,27826055.82690000534
"113",22.92500000000,21.69500000000,24493.74903700000,"7","101106",??????,"1011",?????????,"10",???????????,24216.74117460000,23041375.74269999936
"114",0.35900000000,1.73700000000,6883.46107346000,"5","100204",???????????,"1002",?????,"10",???????????,2795.73635367000,359032.36441099999
"115",1.88200000000,1.73700000000,6883.46107346000,"5","100203",??????????,"1002",?????,"10",???????????,6254.42837533000,1881824.06547000003
"116",14.97500000000,34.36700000000,40154.32401640000,"2","103801",????????,"1038",????????,"10",???????????,20838.94098600000,14975275.21260000020
"117",10.62900000000,10.69000000000,24015.01000000000,"1","103001",??????,"1030",???????,"10",???????????,14338.58851910000,10628916.62769999914
"118",2.08700000000,2.74900000000,5803.96572426000,"2","103101",?????????,"1031",?????????,"10",???????????,5791.75397865000,2086504.27310000011
"119",0.50500000000,0.48300000000,4229.55000000000,"3","101302",???????????,"1013",???????????,"10",???????????,4221.74901897000,505289.79490199999
"120",0.51000000000,0.48400000000,2882.33000000000,"4","101301",??????????,"1013",???????????,"10",???????????,2877.92364136000,509514.34633199999
"121",7.75200000000,7.87800000000,24015.01000000000,"1","103005",???????,"1030",???????,"10",???????????,13074.83005210000,7751804.28263000026
"122",5.55100000000,5.48800000000,24015.01000000000,"1","103004",?????,"1030",???????,"10",???????????,10322.92429800000,5551153.80245000031
"123",5.79900000000,6.02600000000,24015.01000000000,"1","103003",?????????,"1030",???????,"10",???????????,10900.44534100000,5798773.89867000096
"124",2.81300000000,2.82600000000,0.00000000000,"0","103002",????????,"1030",???????,"10",???????????,8071.38710664000,2813265.36359999981
"125",5.36100000000,5.10500000000,13663.67202890000,"4","102201",???????,"1022",?????????,"10",???????????,13688.96180490000,5361490.90732000023
"126",3.05400000000,2.75800000000,8685.79307637000,"3","102009",???????????,"1020",??????????,"10",???????????,8646.08265777000,3054341.19866000023
"127",8.48800000000,11.91800000000,0.00000000000,"0","103503",?????,"1035",??????,"10",???????????,14859.47722880000,8487761.88399999961
"128",31.17000000000,28.69800000000,27315.89910520000,"2","104802",???????????,"1048",????????,"10",???????????,27411.29996770000,31169810.34590000287
"129",19.48700000000,18.78900000000,19499.85395610000,"3","102302",???????,"1023",???????,"10",???????????,19465.21858690000,19486772.25459999964
"130",34.00400000000,34.74500000000,31218.59750650000,"1","105002",???????????,"1050",??????,"10",???????????,19521.78217840000,15017385.98200000077
"131",46.85900000000,35.97500000000,36613.46839170000,"1","102107",?????,"1021",???????????,"10",???????????,36411.69461790000,46858956.85729999840
"132",19.03100000000,18.78900000000,20735.97123390000,"1","104703",????????,"1047",?????,"10",???????????,20694.73008100000,12509220.53229999915
"133",10.84900000000,10.82300000000,20481.76209090000,"4","101101",?????????,"1011",?????????,"10",???????????,21059.72332760000,10997822.81890000030
"134",26.72100000000,24.24900000000,24035.72610700000,"6","104601",???????????,"1046",?????????,"10",???????????,23216.98098040000,26879731.93899999559
"135",39.34200000000,40.57400000000,26607.74490040000,"2","104602",???????????,"1046",?????????,"10",???????????,26211.78083660000,39440689.49949999899
"136",30.02100000000,30.84900000000,24282.91931240000,"3","100303",???????,"1003",???????,"10",???????????,23795.62102920000,29936521.02320000157
"137",16.22700000000,18.65900000000,24442.00213270000,"3","104201",??????,"1042",??????,"10",???????????,24395.21057110000,16227049.37930000201
